author_name,COMMITER_HASH,T_api_design,T_bad_practice,T_brain_overload,T_cert,T_clumsy,T_confusing,T_convention,T_cwe,T_design,T_duplicate,T_html5,T_misra,T_NOT_DEFINIED,T_obsolete,T_performance,T_pitfall,T_psr2,T_redundant,T_suspicious,T_unused
Matt Mullenweg,72918e59a3311f228c771340612822d6aa30e9ba,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,1e34aaddf1c0e1c58d65aca7a35a22106af19d71,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Dougal Campbell,9a5e44459467c6215c8f4fec4a4a69aff14b3a93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dougal Campbell,831051ff5f6e3d143d45d4dc85924b51e2434003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matt Mullenweg,e40c7a30f867161da9f43accffb29da42f2782e0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,030bbb2018adb9cbf88b906bd2e600936f660ebf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mike Little,9eed885bc94dd0fea29a577b57b037e9dc1201da,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mike Little,49d283ce5127246ecd703ebca5306d8cfbd787c7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Mike Little,15f2dc914fe043b2ae4339c21be0bd27a1d34320,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Mike Little,73bf223871dba3677a5595aff49e74c297d411a6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Alex King,58fb2a06417010a7c8c61e157ca01365ff5806fb,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1
Alex King,8c519c9f3034d5448ced3b63999ed80f67bdbe6f,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
Alex King,a10d4577b8f4833b563533d2ce1c195fda5fe537,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
Mike Little,18d2eb783898daeb1d89aa3a07034ac1ffea2b53,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Alex King,77ab96d9efe33998792a15e36fa6f822a6eb139b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Alex King,f4f8a6b91b6aa11875c1a26f2bcc113c94e82410,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Alex King,44406b57f5fe1eb664f49a4055a40f0559bc4ec6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mike Little,2cdc9f218c9838d66ec0cec1ab006654112c83db,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dougal Campbell,8355b753355b82dbbc26587eea78a2d8203741a6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
Mike Little,f870ef5da79129ed3fab073bb253296c346fbb23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Mike Little,cfd681725dd5e6ee3bd8db5afb04d6a975c78fea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matt Mullenweg,da65915339c3d45a75385dc73fe567e95d4d4abc,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,dedb50a315f6565191f2e9f35fed0fb33384fe34,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dougal Campbell,99a494deb63b29fa022266cb65f306a300914807,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Dougal Campbell,f137e9be4c14cf0846d342107d71cbc58ab55923,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Dougal Campbell,42ca15ac988b1847c0a8a76864f0baebca8039c6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dougal Campbell,63a2e6d5a1ffe0b4028e96d328fec30692674998,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,a581d222d6e1b2d2fe363ce7b65a0f589d1816f8,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
Dougal Campbell,9aa628e64b9f67fc335efea39668f12bd411f0a8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,49527093ec248b940f5fe5d615fe07628b4c1af1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,1c5b8abe659db21528da7ff3eeca0f6781d372a0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
Matt Mullenweg,448379612e7318328b907be4bb63b35d564048ec,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Matt Mullenweg,15bfb2b1fbf29bb417ffea12eaf5964c52c35932,0,1,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1
Matt Mullenweg,81cb776b628d6d474d046139bf89b97a6bd154ad,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
Matt Mullenweg,96f0bf4d5247583d3942c2a9421a6e54e4c41941,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
