ID,CS,SQI
556,1776,9597
557,1776,9597
558,1777,9602
559,1782,9562
560,1784,9566
561,1792,9644
562,1792,9644
563,1792,9644
564,1792,9644
565,1793,9643
566,1787,9589
567,1787,9589
568,1783,9564
569,1783,9564
570,1783,9564
571,1781,9550
572,1783,9554
573,1783,9554
574,1783,9554
575,1783,9554
576,1784,9556
577,1784,9556
578,1785,9564
579,1784,9556
580,1785,9561
581,1785,9561
582,1786,9563
583,1786,9563
584,1786,9563
585,1822,9830
586,1822,9830
587,1821,9825
588,1821,9825
589,1822,9830
590,1804,9740
591,1807,9745
592,1807,9745
593,1807,9745
594,1807,9745
595,1808,9753
596,1801,9720
597,1801,9720
598,1792,9652
599,1792,9652
600,1791,9687
601,1806,9724
602,1782,9581
603,1782,9581
604,1782,9581
605,1782,9581
606,1782,9581
607,1783,9589
608,1783,9589
609,1783,9589
610,1783,9589
611,1783,9589
612,1783,9589
613,1783,9589
614,1784,9591
615,1784,9591
616,1784,9591
617,1784,9591
618,1785,9596
619,1785,9596
620,1787,9600
621,1787,9600
622,1787,9600
623,1787,9600
624,1785,9560
625,1785,9560
626,1760,9405
627,1760,9405
628,1759,9404
629,1760,9412
630,1799,9708
631,1799,9708
632,1799,9708
633,1802,9723
634,1802,9723
635,1802,9723
636,1797,9726
637,1790,9712
638,1790,9712
639,1792,9722
640,1794,9741
641,1794,9741
642,1802,9770
643,1804,9774
644,1804,9774
645,1805,9776
646,1805,9776
647,1824,9875
648,1824,9875
649,1860,10067
650,1863,10084
651,1863,10084
652,1865,10109
653,1864,10096
654,1852,10032
655,1852,10032
656,1839,9968
657,1839,9968
658,1852,9995
659,1850,9991
660,1850,9991
661,1850,9991
662,1847,9892
663,1848,9900
664,1861,9938
665,1861,9938
666,1863,9940
667,1863,9940
668,1858,9927
669,1858,9927
670,1870,9985
671,1870,9985
672,1871,9987
673,1871,9987
674,1871,9981
675,1872,9977
676,1874,9981
677,1875,9985
678,1876,9990
679,1876,9990
680,1878,9997
681,1879,10015
682,1881,9979
683,1882,9981
684,1882,9981
685,1882,9981
686,1881,9976
687,1883,9989
688,1895,10021
689,1895,10021
690,1895,10021
691,1895,10021
692,1895,10021
693,1895,10021
694,1831,9710
695,1831,9710
696,1831,9710
697,1828,9692
698,1828,9692
699,1828,9692
700,1828,9692
701,1827,9672
702,1827,9672
703,1827,9672
704,1827,9672
705,1827,9672
706,1826,9667
707,1826,9667
708,1826,9667
709,1824,9651
710,1824,9651
711,1824,9651
712,1824,9651
713,1824,9651
714,1836,9714
